Event Desc,En No,Site Name,Licensee Name,Region No,City Name,State Cd,County Name,License No,Agreement State Ind,Docket No,Unit Ind1,Unit Ind2,Unit Ind3,Reactor Type,Nrc Notified By,Ops Officer,Notification Dt,Notification Time,Event Dt,Event Time,Time Zone,Last Updated Dt,Emergency Class,Cfr Cd1,Cfr Descr1,Cfr Cd2,Cfr Descr2,Cfr Cd3,Cfr Descr3,Cfr Cd4,Cfr Descr4,Staff Name1,Org Abbrev1,Staff Name2,Org Abbrev2,Staff Name3,Org Abbrev3,Staff Name4,Org Abbrev4,Staff Name5,Org Abbrev5,Staff Name6,Org Abbrev6,Staff Name7,Org Abbrev7,Staff Name8,Org Abbrev8,Staff Name9,Org Abbrev9,Staff Name10,Org Abbrev10,Scram Code 1,RX CRIT 1,Initial PWR 1,Initial RX Mode1,Current PWR 1,Current RX Mode 1,Scram Code 2,RX CRIT 2,Initial PWR 2,Initial RX Mode 2,Current PWR 2,Current RX Mode 2,Scram Code 3,RX CRIT 3,Initial PWR 3,Initial RX Mode 3,Current PWR 3,Current RX Mode 3,Event Text
Part 21,50900,CURTISS WRIGHT FLOW CONTROL CO.,CURTISS WRIGHT FLOW CONTROL CO.,1,EAST FARMINGDALE,NY,,,Y,,,,,,JOHN DeBONIS,STEVE SANDIN,3/17/2015 0:00,9:59,3/17/2015 0:00,,EDT,2/3/2017 0:00,NON EMERGENCY,21.21(a)(2),INTERIM EVAL OF DEVIATION,,,,,,,GLENN DENTEL,R1DO,BINOY DESAI,R2DO, PART 21/50.55 REACT,EMAI,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"INTERIM PART 21 REPORT - POTENTIAL TEST INDUCED DEFECT IN A 0867F MAIN STEAM SAFETY RELIEF VALVES  The following report was received from Curtiss - Wright via email:  ""This letter provides interim notification of a potential test induced defect in a 0867F Series Main Steam Safety Relief Valves (MS-SRVs) manufactured and supplied by Target Rock (TR). The information required for this notification is provided below:  ""(i) Name and address of the individual or individuals informing the Commission.  William Brunet Director of Quality Assurance James White General Manager Target Rock, Business Unit of Curtiss-Wright Flow Control Corporation 1966E Broadhollow Road East Farmingdale, NY 11735  ""(ii) Identification of the basic component supplied for such facility or such activity within the United States which may fail to comply or contains a potential defect.  Target Rock 0867F Series of Main Steam-Safety Relief Valves Manufactured by Target Rock. This is a 3-stage piloted valve consisting of a main valve (the 'Main') with an actuator mounted to it (the 'Topworks'). The 0867F is the latest generation of the 67F line of MS-SRVs, including the original 3-Stage and 2-Stage designs, and this product line has over 40 years of plant operational experience. Only the 0867F is under investigation. This is due to the differences between the 0867F design and the other designs.  ""(iii) Identification of the firm supplying the basic component which fails to comply or contains a defect.  Target Rock, Business Unit of Curtiss-Wright Flow Control Corporation 1966E Broadhollow Road East Farmingdale, NY 11735  ""(iv) Nature of the defect or failure to comply and the safety hazard which is created or could be created by such defect or failure to comply.  As we understand it, the Pilgrim Station recently manually opened the Target Rock Main Steam Safety Relief Valves (MS-SRVs) as part of cooling down the reactor following a loss of offsite power. One of the four installed MS-SRVs may not have fully opened. As-found steam testing of the affected MS-SRV did not duplicate this failure; the valve opened on demand. However, the valve did not re-close as expected. Internal inspections found damaged parts in the main stage subassembly that could potentially affect the ability of the MS-SRV to operate as designed.  We are investigating potential root causes for this damage. However, we are still unable to determine if a specific defect exists. GE SIL-196, Supplement 17 determined Main Spring relaxation was caused by 'extreme dynamics encountered during limited flow testing  . Valve dynamics under full flow conditions (i.e. discharge not gagged) are much less severe than those under limited flow conditions.' These extreme dynamics, under limited flow test conditions, are the focus of our investigation. Specific areas of investigation include;  a) Testing of materials to verify they are consistent with our material specifications, b) evaluation of differences between the 0867F and earlier designs, and c) evaluation of the differences between different limited flow test loop configurations and test procedures  ""(v) The date on which the information of such defect or failure to comply was obtained.  The Pilgrim event occurred on January 27, 2015. As-found testing occurred on February 2, 2015.  ""(vi) In the case of a basic component which contains a defect or fails to comply, the number and location of these components in use at, supplied for, being supplied for, or may be supplied for, manufactured, or being manufactured for one or more facilities or activities subject to the regulations in this part.  While we have yet to determine if a specific defect exists, the following plants were supplied 0867F MS-SRVs:  - Pilgrim (Model 09J-001) Quantity Shipped = 8 - Fitzpatrick (Model 09H-001) Quantity Shipped = 4, Quantity on order= 8 - Hatch 1 and 2 (Model 09G-001) Quantity Shipped= 24, Quantity on order= 12  The following plants will be supplied 0867F MS-SRVs:  - Hope Creek (Models 14J-001, 14J-002) Quantity on order = 7  ""(vii) The corrective action which has been, is being, or will be taken; the name of the individual or organization responsible for the action; and the length of time that has been or will be taken to complete the action.  The root cause of the potential test induced defect has not yet been confirmed as of the date of this report. Therefore, no specific corrective actions have been initiated. Target Rock Problem Report 080 will document the corrective actions when they are determined and complete the 10 CFR Part 21 evaluation of the potential test induced defect. This determination will be based on further mechanical and material evaluations. TR anticipates completing these evaluations within 45 days; however, in the event the evaluations are not completed, TR will forward another interim report within 45 days.  ""(viii) Any advice related to the defect or failure to comply about the facility, activity, or basic component that has been, is being, or will be given to purchasers or licensees.  We are working with all three (4) sites to identify appropriate precautions.  ""(ix) In the case of an early site permit, the entities to whom an early site permit was transferred.  Not applicable.  ""Should you have any questions regarding this matter, please contact Michael Cinque, Director of Program Management at (631 ) 293-3800.""  * * * UPDATE FROM JOHN DeBONIS (VIA EMAIL) TO HOWIE CROUCH AT 1355 EDT ON 5/1/15 * * *  Curtiss-Wright provided an update to state that their root cause analysis is still in progress and they anticipate completion within 60 days.  Notified NRR Part 21 Group (via email), R1DO (Gray), and R2DO (Ehrhardt).    * * * UPDATE FROM JOHN DeBONIS (VIA EMAIL) TO STEVEN VITTO AT 1256 EDT ON 6/30/15 * * *  Curtiss-Wright provided an update to state their root cause analysis findings and corrective actions.  Corrective actions are estimated to be completed within 12 months.  ""The following plants were supplied 0867F MS-SRVs: Pilgrim (Model 09J-001) Quantity Shipped = 8 FitzPatrick (Model 09H-001) Quantity Shipped = 4, Quantity on order= 8 Hatch 1 and 2 (Model 09G-001) Quantity Shipped = 24, Quantity on order= 12  ""The following plants will be supplied 0867F MS-SRVs: Hope Creek (Models 14J-001, 14J-002) Quantity on order = 7  ""Valves Currently Installed  ""Target Rock recommends valves currently installed be inspected to ensure the main piston shoulder has contact with the main disc stem shoulder. These inspections should be scheduled based on plant-specific indications of the potential for fretting. These inspections can be performed by removing the base assembly from the main body and physically measuring for shoulder-to-shoulder contact.  ""Should you have any questions regarding this matter, please contact Michael Cinque, Director of Program Management at (631 ) 293-3800.""  Notified NRR Part 21 Group (via email), R1DO (Dimitriadis), and R2DO (Suggs).  * * * UPDATE AT 0803 EST ON 02/03/17 FROM JOHN DEBONIS TO JEFF HERRERA * * *   ""Target Rock, a business unit of Curtiss-Wright Flow Control Corporation (TR), previously submitted NID# 15428 (Ref. 1) regarding 0867F Series of Main Steam Safety Relief Valves (MSSRV).  The purpose of this letter is to provide a final update on the status of the actions identified in NID# 15428 (Ref. 1 ).  ""TR has developed a design change that we have verified, though analysis and qualification testing, ensures testing on the available limited flow test facilities will not impart damage to our product. Qualification included both limited and full flow testing. Target Rock confirms this design change has no effect on either National Board certification or the performance required by the applicable Specification to support the plant safety analysis.TR will offer this design change as our recommended long term solution to all utilities who currently have installed or plan to install the 0867F Series Main Steam Safety Relief Valve model in their respective plants. Should you have any questions regarding this matter, please contact me [Alex DiMeo] at (631) 293-3800.""  Notified R1DO (Gray), R2DO (Walker) and Part 21 Group."
Part 21,52324,EMERSON FISHER CONTROLS INTL LLC,EMERSON FISHER CONTROLS INTL LLC,3,MARSHALLTOWN,IA,,,Y,,,,,,KIM SAGAR,DANIEL MILLS,10/27/2016 0:00,16:43,8/30/2016 0:00,,CDT,2/24/2017 0:00,NON EMERGENCY,21.21(a)(2),INTERIM EVAL OF DEVIATION,,,,,,,BLAKE WELLING,R1DO,EUGENE GUTHRIE,R2DO,PATTY PELKE,R3DO,THOMAS FARNHOLTZ,R4DO, PART 21/50.55 REACT,EMAI, PART 21 MATERIALS,EMAI,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"PART 21 - POTENTIAL ISSUE WITH SEISMIC QUALIFICATION OF TYPE 546NS ELECTRO-PNEUMATIC TRANSDUCERS  The following was received via email:  ""Pursuant to 10 CFR 21.21(a)(2), Fisher Controls International LLC ('Fisher') is providing required written interim notification of a potential failure to comply concerning Type 546NS Electro-Pneumatic Transducer Qualification Reports.  ""On August 30, 2016, Fisher became aware of a potential issue with the past qualification of the Type 546NS Transducers. Fisher's published seismic literature and certifications, based on testing by a 3rd party laboratory, exhibit inconsistencies when compared to more recent testing completed by Fisher. Regardless of these discrepancies, the Type 546NS Transducer remains qualified to perform before and after seismic loading. The scope of this investigation pertains only to operability during seismic events.  ""An extent-of-condition investigation is underway and 546NS testing data is being evaluated to determine if further testing is required. Fisher will complete the investigation by November 27, 2016 and, if necessary, will complete additional testing by February 10, 2017.  ""Should there be any further questions concerning this matter, please contact Benjamin Ahrens, Manager, Quality by email at Benjamin.Ahrens@Emerson.com or via phone at 641-754-2249.""  * * * UPDATE AT 0919 EST ON 11/23/16 FROM KIM SAGAR TO JEFF HERRERA * * *   The following was received via email:  ""Pursuant to 10 CFR 21.21(a)(2), Fisher Controls International LLC (""Fisher"") is providing an update to a previous written interim notification of a potential failure to comply concerning Type 546NS Electro-Pneumatic Transducer Qualification Reports.  ""On August 30, 2016, Fisher became aware of inconsistencies exhibited by prior qualification reports of the 546NS. A review of all previous Type 546 qualifications has been completed to reaffirm the qualification of the device for operation during seismic events. Based on this review, the 546NS remains qualified to perform before and after seismic loading. Additional testing is required to confirm if the device is capable of operating during an event. This additional testing is scheduled to be completed by February 10, 2017.  ""Once this additional testing has been completed and operability status determined, an appropriate announcement will be made pursuant to 10CFR21 reporting requirements.  ""Should there be any further questions concerning this matter, please contact Benjamin Ahrens, Manager, Quality by email at Benjamin.Ahrens@Emerson.com or via phone at 641-754-2249.""  Notified the R1DO (Dwyer), R2DO (Heisserer), R3DO (McCraw), R4DO (Taylor), Part 21/50.55 Reactors (via email) and Part 21 Materials (via email).  * * * UPDATE PROVIDED BY KIM SAGAR TO JEFF ROTTON AT 1704 EST ON 02/24/2017 * * *   The following is a summary of information that was received via email:  ""Pursuant to 10CFR21.21(a)(2), Fisher Controls International LLC ('Fisher') is providing required written interim notification of a potential failure to comply concerning Type 546NS Electro-Pneumatic Transducer Qualification Reports. This notification serves as a follow-up to a similarly titled report dated October 27, 2016.  ""Fisher initiated in-house seismic testing to analyze the performance of the device and associated mounting hardware when exposed to high-level seismic activity. These tests concluded on February 10, 2017.  ""Test data analysis is still underway. However, at the time of this publication, preliminary observations and conclusions can be made. The device itself, when rigidly mounted, does not exhibit natural frequencies in the tested frequency range consistent with previous qualification literature. When mounted to the standard 546 mounting bracket, the tested assemblies do not exhibit natural frequencies below 60 Hz.  ""During the course of testing, additional questions were raised regarding the configuration of the mounting bracket. These questions are currently being investigated. Questions regarding 546NS mounting will be addressed on a case-by-case basis with individual customers.  ""Further analysis and verification of the test data is needed before Fisher can make specific claims regarding the operability of the 546NS during high-level seismic loading. Fisher will complete the investigation by April 13th, 2017.  ""Should there be any further questions concerning this matter, please contact Benjamin Ahrens, Manager, Quality by email at Benjamin.Ahrens@Emerson.com or via phone at 641-754-2249.""  Notified the R1DO (Powell), R2DO (Bartley), R3DO (Jeffers), R4DO (Pick), Part 21/50.55 Reactors (via email) and Part 21 Materials (via email)."
Part 21,52394,ENERCON,ENERCON,1,KENNESAW,GA,,,Y,,,,,,NICK EGGEMEYER,MARK ABRAMOVITZ,11/23/2016 0:00,11:56,9/28/2016 0:00,,EST,2/9/2017 0:00,NON EMERGENCY,21.21(a)(2),INTERIM EVAL OF DEVIATION,,,,,,,JAMES DWYER,R1DO,AARON McCRAW,R3DO, PART 21/50.55 REACT,EMAI,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"PART-21 NOTIFICATION - DESIGN BASIS ERRORS USING FLO-2D SOFTWARE  The following report was received via e-mail:  ""This letter serves as an Interim Report in accordance with 10 CFR 21.21 pertaining to a potential defect associated with a design basis calculation delivered to First Energy Nuclear Operating Company's Perry Nuclear Power Plant. Subsequent to delivering this calculation, FLO-2D software errors were identified which resulted in erroneous outputs that affect the local intense precipitation calculation. These errors were discovered on September 28, 2016, at which time, ENERCON generated a Corrective Action Report (CAR) to address the issue. ENERCON has initiated a reevaluation of the calculation using the latest version of the software that will correct the errors in the calculation.  ""An evaluation of the reportability of this issue in accordance with 10 CFR Part 21 is not able to be completed within the 60-day evaluation period due the need to verify and validate the latest version of the software and then complete all the analysis required for updating the calculation. This evaluation is being tracked by CAR 2016-0335 and will be completed no later than February 10, 2017.  ""If you have any questions or need further clarifying information, please contact Nick Eggemeyer, Corporate Quality Assurance Manager, at (770) 590-2031.""   * * * UPDATE AT 0910 EST ON 12/13/2016 FROM TIMOTHY CLEARY TO MARK ABRAMOVITZ * * *  The following update was received via e-mail:  ""This letter serves as an amendment to the 10 CFR 21.21 Interim Report filed on November 23, 2016, pertaining to a potential defect associated with a design basis calculation delivered to First Energy Nuclear Operating Company's Perry Nuclear Power Plant. Subsequent to delivery of the calculation, a standard, periodic review of the FLO-2D Pro software supplier website indicated that a new build of this software (version 16.06.16) had been issued. It replaced the software build (version 14.08.09) that was used for the above referenced design calculation. As a result of the model revision associated with FLO-2D, it was determined that the outputs were impacted which could affect this design basis calculation. These output changes were discovered on September 28, 2016, at which time ENERCON generated a Corrective Action Report (CAR) to address the issue. ENERCON has initiated a reevaluation of the calculation using this new build of the FLO-2D Pro software.  ""An evaluation of the reportability of this issue in accordance with 10 CFR Part 21 is not able to be completed within the 60-day evaluation period due the need to verify and validate the latest version of the software and then complete all the analysis required for updating the calculation. This evaluation is being tracked by CAR 2016-0335 and will be completed no later than February 10, 2017.  ""If you have any questions or need further clarifying information, please contact Nick Eggemeyer, Corporate Quality Assurance Manager, at (770) 590-2031.""  Notified the R1DO (Schroeder), R3DO (Cameron), and Part 21 Group (via e-mail).   * * * UPDATE FROM TIMOTHY CLEARY TO DONALD NORWOOD AT 1602 EST ON 2/9/2017 * * *  The following information was received via E-mail:  ""This letter serves as an evaluation summary in accordance with 10 CFR 21.21 pertaining to a potential defect associated with a design basis calculation delivered to FirstEnergy Nuclear Operating Company's Perry Nuclear Power Plant. The 10 CFR 21.21 Interim Report was filed on November 23, 2016. An Amendment to the 10 CFR 21.21 Interim Report was filed on December 12, 2016.  ""Subsequent to the filing of the Amendment to the Interim Report, the updated FLO-2D software, build 16.06.16, was verified and validated and a re-analysis performed. A comparison between the original analysis and the updated analysis using the updated software was then performed. This analysis indicates flood water level changes assumed in the Perry Nuclear Plant flooding analyses are small, -0.14 feet to +0.16 feet (-1.6 inches to +1.9 inches).  ""The comparative results between the two analyses were provided to First Energy Company's Perry Nuclear Power Plant on February 3, 2017. Perry Nuclear Plant staff are continuing to review these results in order to complete the determination of whether the change in flood water levels results in additional reporting requirements.  ""If you have any questions or need further clarifying information, please contact Nick Eggemeyer, Corporate Quality Assurance Manager, at (770) 590-2031.""  Notified the R2DO (Sandal), R3DO (Kunowski), and Part 21 Group (via e-mail)."
Power Reactor,52441,ARKANSAS NUCLEAR,ENTERGY NUCLEAR,4,RUSSELVILLE,AR,POPE,,N,5000313,1,,,"[1] B&W-L-LP,[2] CE",STEVEN KIRSHBERGER,BETHANY CECERE,12/17/2016 0:00,5:43,12/16/2016 0:00,14:00,CST,2/7/2017 0:00,NON EMERGENCY,50.72(b)(3)(v)(C),POT UNCNTRL RAD REL,,,,,,,RAY KELLAR,R4DO,,,,,,,,,,,,,,,,,,,N,Y,33,Power Operation,33,Power Operation,N,N,0,,0,,N,N,0,,0,,"VENTILATION SYSTEM INOPERABLE  ""At approximately 1400 CST on 12/16/16, during the performance of VEF-38A Lead Penetration Room Ventilation System (PRVS) Exhaust Fan Monthly Test, flow was found to be at 2000 SCFM with an operability limit of 1620 to 1980 SCFM. VEF-38A was declared inoperable. Unit 1 entered Technical Specification Limiting Condition for Operation (LCO) 3.7.11 Condition C for both trains of PRVS inoperable. With VEF-38A aligned as the lead fan and capable of auto-start, the operable standby fan (VEF-38B) would not have started.  ""During the time that VEF-38A was inoperable and capable of auto-starting, the Unit 1 PRVS was in a condition that could have prevented the control of the release of radioactive material.  ""At 1546 CST on 12/16/16, Unit 1 rendered VEF-38A incapable of auto starting by placing its hand switch in PULL-TO-LOCK.  Unit 1 Entered LCO 3.7.11 condition A for one PRVS train inoperable and Exited LCO 3.7.11 Condition C.  ""This is a notification per 10 CFR 50.72(b)(3)(v) for a condition that could have prevented the control of the release of radioactive material.""  The licensee has notified the NRC Resident Inspector.  * * * UPDATE ON 2/7/17 AT 1528 EST FROM BUCHANON DICKSON TO DONG PARK * * *  ""EN 52441 was initiated on December 16, 2016, when the VEF-38A fan flow was found to be in excess of the procedurally defined operability limit during the monthly lead penetration room ventilation system test.    ""The revision of the procedure in use at the time had inadvertently included acceptance criterion for fan air flow in the monthly supplements.  The monthly tests demonstrate the flow paths for the two trains are functional and open, but they are not performed in the designed Engineered Safeguards (ES) configuration. The monthly tests do not secure the normal supply and exhaust ventilation within the penetration room boundaries; therefore, flow may be outside limits required during the ES configuration.  The 18 month surveillance, which measures the flowrate of the system while in the ES configuration, was completed in April 2016.  The surveillance verified the system's operability.  The systems have not been modified or altered since this surveillance; therefore the measured flowrate remains the same.  ""The procedure has been revised subsequent to this event to remove the flowrate as an 'acceptance criterion' for the monthly test.  ""Because the VEF-38A flow did not result in fan inoperability, both fan trains remained operable; therefore, ANO-1 did not lose a safety function to control a radioactive release.  Based on that, conclusion EN 52441 is being retracted.""  The licensee will notify the NRC Resident Inspector.  Notified R4DO (Warnick)."
Part 21,52458,ITT ENIDINE INC.,ITT ENIDINE INC.,1,WESTMINSTER,SC,,,Y,,,,,,RAY SMITH,DONG HWA PARK,12/22/2016 0:00,17:35,11/2/2016 0:00,,EST,2/28/2017 0:00,NON EMERGENCY,21.21(d)(3)(i),DEFECTS AND NONCOMPLIANCE,,,,,,,JAMES NOGGLE,R1DO,GERALD MCCOY,R2DO,STEVE ORTH,R3DO,MICHAEL HAY,R4DO,NMSS_EVENTS_NOTIFICA,EMAI,PART 21 MATERIALS,,PART 21/50.55 REACTO,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"PART 21 - POTENTIAL TRANSDUCER COMPONENT DEFECT  The following information was received via fax:  ""The ITT Conoflow models GT25CA1826 and GT25CD1826 current to pressure (l/P) transducers produce a calibrated 3.0 to 15.0 psi output pressure from a 4.0 to 20.0 mA DC (input) signal.  On November 2, 2016, a discovery was made of unqualified electrical component substitutions on the internal circuit board.  Supplier and internal record reviews indicate these unqualified components were used as early as May 10, 2013, as the previously qualified PCB components are no longer available.  Environmental qualification of the suspect circuit boards is planned for early 2017.  If any component falls to meet requirements, nuclear facilities which use this product will be advised to examine their product for unqualified printed circuit boards via notification and visual references.  Qualified replacement components will be provided to all affected customers.  ""Customer Name / Item Number / No.: Units Calvert Cliffs Nuclear / GT25CD1826 / 30 Control Components Inc. / GT2SCD 1826 / 3 Duke Energy Carolinas LLC / GT25CA1826 / 8 Duke Energy Carolinas LLC / GTI:SCD1826 / 4 Enertech Curtiss-Wright / GT25CA1816 / 19 Enertech Curtiss-Wright / GT25CD1826 / 4 Ergytech Inc. / GT25CA1826 / 3 Ergytech Inc. / GT25CD1826 / 3 Gefran Benelux NV / GT25CD1826 / 2 Ontario Power Generation / GT25CD1826 / 31 SPX Flow Technology / GT25CA1826 / 2 Weir Valves & Controls UK / GT25CA1826 / 78""  * * * UPDATE ON 2/28/17 AT 0918 EST FROM RAY SMITH TO DONG PARK VIA FAX* * *  ""On November 2, 2016 a discovery was made of unqualified electrical component substitutions on the internal circuit board. Supplier and internal record reviews indicate these unqualified components were used as early as May 10, 2013, as the previously qualified PCB components are no longer available. Environmental qualification of test samples containing the suspect circuit boards has been completed. The subject parts continued to operate and perform their intended safety function throughout all EQ [Equipment Qualification] tests.""  Notified R1DO (DeFrancisco), R2DO (Bartley), R3DO (Jeffers), R4DO(Deese), NMSS Events Resource, and Part 21 Group via email."
Non-Agreement State,52499,GEO ENGINEERING & TESTING INC,GEO ENGINEERING & TESTING INC,4,TAMUNING,GU,,56-18173-02,N,,,,,,UKRIT SIRIPRUSANAN,MARK ABRAMOVITZ,1/20/2017 0:00,3:52,1/1/1988 0:00,,GST,1/20/2017 0:00,NON EMERGENCY,20.2201(a)(1)(i),LOST/STOLEN LNM>1000X,,,,,,,GREG WERNER,R4DO,NMSS_EVENTS_NOTIFICA,EMAI,JIM WHITNEY,ILTA,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"LOST/MISPLACED MOISTURE DENSITY GAUGE  A Troxler moisture density gauge was last leak checked in 1988.  The gauge handle was damaged by construction equipment and put aside sometime between 1988 and 1990.  The current location of the gauge is unknown.  Troxler Model 3411B Serial Number 8117 Sources: Cs-137 10 mCi and Am-241 60 mCi  THIS MATERIAL EVENT CONTAINS A ""LESS THAN CAT 3"" LEVEL OF RADIOACTIVE MATERIAL  Sources that are ""Less than IAEA Category 3 sources,"" are either sources that are very unlikely to cause permanent injury to individuals or contain a very small amount of radioactive material that would not cause any permanent injury. Some of these sources, such as moisture density gauges or thickness gauges that are Category 4, the amount of unshielded radioactive material, if not safely managed or securely protected, could possibly - although it is unlikely - temporarily injure someone who handled it or were otherwise in contact with it, or who were close to it for a period of many weeks. For additional information go to  http://www-pub.iaea.org/MTCD/publications/PDF/Pub1227_web.pdf"
Non-Agreement State,52509,KINROSS,KINROSS,4,FAIRBANKS,AK,,50-29098-01,N,,,,,,BRIAN SHORT,JOHN SHOEMAKER,1/24/2017 0:00,19:40,1/24/2017 0:00,14:30,YST,1/24/2017 0:00,NON EMERGENCY,30.50(b)(2),SAFETY EQUIPMENT FAILURE,,,,,,,JESSE ROLLINS,R4DO, NMSS_EVENTS_NOTIFIC,EMAI,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"STUCK OPEN SHUTTER  During the semi-annual inspection, the licensee discovered that the shutter on a fixed density gauge would not close.  The gauge is used to monitor slurry flow at a gold mining operation and the shutter is normally open.  The gauge remains in operation and does not present a safety concern to personnel.  There are no exposures involved with this event.  The licensee has notified the manufacturer of the gauge to request that an authorized technician repair the shutter.  The gauge is Ronan SA-1 Density Gauge containing a Cs-137 1000 mCi source, Serial # M4884."
Power Reactor,52510,COLUMBIA GENERATING STATION,ENERGY NORTHWEST,4,RICHLAND,WA,BENTON,,Y,5000397,2,,,[2] GE-5,JEFFERY KUETHER-ULBERG,STEVEN VITTO,1/26/2017 0:00,3:11,1/25/2017 0:00,18:36,PST,2/3/2017 0:00,NON EMERGENCY,50.72(b)(3)(v)(D),ACCIDENT MITIGATION,,,,,,,JESSE ROLLINS,R4DO,,,,,,,,,,,,,,,,,,,N,Y,100,Power Operation,100,Power Operation,N,N,0,,0,,N,N,0,,0,,"HIGH PRESSURE CORE SPRAY SYSTEM DIESEL ROOM FAN MOTOR FAILURE  ""On January 25, 2017, at 1836 PST, smoke was detected in the High Pressure Core Spray System (HPCS) diesel room with no indication of a fire. Investigation found the motor starter coil for DMA-FN-32 (Diesel Mixed Air Fan 32), HPCS diesel generator room normal cooling fan, failed. This fan is required for operability of the switchgear that powers the HPCS pump. The HPCS pump is currently inoperable due to maintenance being performed on other support systems.  ""This condition is being reported under 10 CFR 50.72(b)(3)(v)(D) for an event or condition that could have prevented fulfillment of a safety function needed to mitigate the consequences of an accident.  ""The licensee has notified the NRC Resident Inspector.""  * * * RETRACTED ON 0036 EST ON 2/3/17 FROM QUOC VO TO JEFF HERRERA * * *   ""At the time of discovery HPCS was out of service in accordance with plant technical specifications, therefore the failure of the supporting equipment, DMA-FN-32, is not reportable under 10 CFR 50.72(b)(3)(v)(D).  ""The NRC Resident Inspector has been notified.""  Notified the R4DO (Miller)."
Fuel Cycle Facility,52512,NUCLEAR FUEL SERVICES INC.,NUCLEAR FUEL SERVICES INC.,2,ERWIN,TN,UNICOI,SNM-124,Y,7000143,,,,URANIUM FUEL FABRICATION,KENNETH GREER,DONG HWA PARK,1/26/2017 0:00,15:54,1/25/2017 0:00,17:45,EST,1/26/2017 0:00,NON EMERGENCY,26.719,FITNESS FOR DUTY,,,,,,,BRANNEN ADKINS,R2DO, NMSS_EVENTS_NOTIFIC,EMAI, FFD GROUP,EMAI,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,FITNESS FOR DUTY POLICY VIOLATION  A contract employee had a prohibited item in the Protected Area.  The employee's access to the site has been restricted.  The licensee has notified the NRC Resident Inspector.
Agreement State,52514,ILLINOIS EMERGENCY MGMT. AGENCY,CHILDREN'S HOSPITAL OF CHICAGO - MEDICAL CENTER,3,CHICAGO,IL,,IL-01165-01,Y,,,,,,DAREN PERRERO,DONG HWA PARK,1/27/2017 0:00,12:10,1/24/2017 0:00,,CST,1/27/2017 0:00,NON EMERGENCY,,AGREEMENT STATE,,,,,,,KENNETH RIEMER,R3DO,ANGELA MCINTOSH,NMSS, NMSS_EVENTS_NOTIFIC,EMAI,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"AGREEMENT STATE REPORT - UNPLANNED CONTAMINATION AT HOSPITAL  The following was received from the State of Illinois via email:  ""On January 25, the licensee's Radiation Safety Officer (RSO) contacted the Agency [Illinois Emergency Management Agency] to report an issue with an administration of a capsule containing I-131 which had occurred the previous afternoon.  A nominal dose of 30 milliCi in capsule form was given to a child within the nuclear medicine department of the licensee's facility.  Although the patient was being treated on an outpatient basis, the licensee was keeping the patient for a short time to ensure there would be no complications before being sent home.  During this period, staff checked in on the patient several times and during one of the visits, discovered that rather than swallowing the capsule as instructed, the patient had spit the capsule out into their hand and was hiding the capsule.  This resulted in extensive contamination of the patient's hand, clothing and the chair they were sitting in as well as the immediate surrounding area.  During the process to evaluate and decontaminate the patient, additional contamination was discovered in adjacent camera rooms and corridors where the staff had traversed.  Staff moved to close the department and restrict passage into/out of the nearby areas to prevent additional spread of contamination.  Initial estimates suggest that the patient ingested little if any of the activity and that excessive levels were throughout the area of the nuclear medicine department.  Based on this finding, barriers were erected and the department was closed for over 48 hours while assessment and decontamination efforts were ongoing.   ""Agency inspectors were at the site on January 26 to perform assessments of exposure, contamination levels, potential uptake by staff and corrective action being taken by the licensee.  This matter will remain open while those assessments are on going.  Initial bioassay results suggest only negligible uptakes have occurred with staff.  Potential exposures/uptakes continue to be evaluated by the licensee throughout the decontamination process.  The licensee is exploring the potential for having additional outside resources complete the necessary decontamination and remediation steps so that the department can  reopen and provide at least limited services.""  Illinois Item Number:  IL17002"
